step,pnl
3,4.5
51,8.0
101,12.0
151,16.0
207,22.5
407,22.0
457,26.5
506,32.0
557,35.5
606,40.0
656,44.0
706,48.0
760,53.5
806,56.0
858,62.5
906,64.0
956,68.0
1010,76.0
1060,80.5
1106,80.0
1157,88.5
1210,84.0
1260,96.5
1306,96.0
1358,104.5
1410,100.0
1456,108.0
1506,112.0
1557,120.5
1606,120.0
1657,128.5
1707,124.0
1756,132.0
1806,136.0
1857,144.5
1906,144.0
1959,152.5
2007,148.0
2057,160.5
2106,160.0
2156,164.0
2206,168.0
2256,172.0
2306,176.0
2361,184.5
2561,184.0
2613,184.5
2664,189.0
2713,193.5
2761,200.0
2811,204.0
2864,207.0
2911,212.0
2961,216.0
3012,220.5
3061,224.0
3112,229.5
3165,234.0
3212,238.5
3264,243.0
3312,247.5
3361,248.0
3415,256.5
3464,252.0
3511,260.0
3568,260.0
3767,264.5
3816,272.0
3866,276.0
3918,278.0
3966,284.0
4020,287.0
4067,292.0
4117,296.0
4166,300.0
4216,304.0
4267,309.5
4320,314.0
4366,316.0
4416,320.0
4466,324.0
4516,328.0
4566,332.0
4616,336.0
4667,344.5
4716,344.0
4769,352.5
4820,348.0
4866,356.0
4916,360.0
4966,364.0
5016,368.0
5070,376.5
5117,376.0
5166,380.0
5216,384.0
5268,392.5
5319,388.0
5366,396.0
5417,396.0
5467,408.5
5520,404.0
5566,412.0
5617,412.0
5668,424.5
5716,424.0
5767,432.5
5816,432.0
5866,436.0
5916,440.0
5969,448.5
6016,448.0
6066,452.0
6118,452.0
6172,464.5
6371,464.0
6421,468.0
6471,472.0
6523,473.5
6571,480.0
6622,482.5
6673,487.0
6721,492.0
6779,496.0
6976,500.0
7027,505.0
7076,508.0
7129,514.0
7176,516.0
7226,520.0
7277,527.5
7326,528.0
7376,532.0
7426,536.0
7484,544.5
7681,544.0
7731,548.0
7784,549.0
7834,553.5
7881,560.0
7931,564.0
7981,568.0
8031,572.0
8081,576.0
8131,580.0
8181,584.0
8232,589.5
8281,592.0
8333,598.5
8381,600.0
8432,607.5
8481,608.0
8532,616.5
8581,616.0
8631,620.0
8681,624.0
8732,632.5
8782,628.0
8831,636.0
8885,636.0
8931,644.0
8982,644.0
9033,656.5
9082,652.0
9131,660.0
9181,664.0
9236,672.5
9438,668.0
9486,676.0
9537,677.0
9587,681.5
9636,688.0
9686,692.0
9736,696.0
9790,699.5
9837,704.0
9887,708.5
9937,713.0
9986,716.0
10036,720.0
10086,724.0
10136,728.0
10187,735.5
10239,740.0
10286,740.0
10337,740.0
10388,752.5
10436,752.0
10488,760.5
10536,760.0
10587,768.5
10636,768.0
10687,776.5
10737,772.0
10786,780.0
10836,784.0
10886,788.0
10936,792.0
10991,800.5
11191,800.0
11241,804.0
11291,808.0
11342,809.5
11391,816.0
11441,820.0
11492,823.0
11543,827.5
11596,832.0
11796,836.0
11849,841.0
11896,844.0
11946,848.0
11997,854.5
12049,859.0
12096,860.0
12146,864.0
12197,872.5
12248,868.0
12297,880.5
12346,880.0
12397,888.5
12446,888.0
12496,892.0
12549,892.0
12596,900.0
12648,900.0
12696,908.0
12747,908.0
12796,916.0
12846,920.0
12896,924.0
12947,924.0
12997,936.5
13046,936.0
13096,940.0
13146,944.0
13196,948.0
13248,948.0
13300,960.5
13348,956.0
13396,964.0
13449,964.0
13498,976.5
13547,972.0
13597,984.5
13646,984.0
13699,992.5
13747,988.0
13798,1000.5
13846,1000.0
13897,1008.5
13946,1008.0
13997,1016.5
14049,1012.0
14096,1020.0
14147,1020.0
14196,1028.0
14246,1032.0
14297,1040.5
14346,1040.0
14398,1048.5
14449,1044.0
14498,1056.5
14547,1052.0
14596,1060.0
14649,1060.0
14698,1072.5
14748,1068.0
14797,1080.5
14846,1080.0
14896,1084.0
14946,1088.0
14996,1092.0
15049,1092.0
15096,1100.0
15150,1100.0
15196,1108.0
15246,1112.0
15296,1116.0
15346,1120.0
15397,1128.5
15452,1124.0
15655,1128.5
15702,1133.0
15752,1137.5
15802,1142.0
15852,1146.5
15901,1152.0
15954,1155.5
16003,1160.0
16053,1164.5
16102,1169.0
16151,1172.0
16203,1178.0
16258,1182.5
16456,1184.0
16509,1186.5
16556,1192.0
16607,1195.5
16656,1200.0
16707,1204.5
16757,1209.0
16806,1212.0
16860,1218.0
16907,1222.5
16957,1227.0
17007,1231.5
17056,1232.0
17108,1240.5
17156,1240.0
17208,1248.5
17256,1248.0
17306,1252.0
17358,1252.0
17410,1264.5
17456,1264.0
17507,1272.5
17557,1268.0
17607,1280.5
17656,1280.0
17710,1288.5
17756,1288.0
17806,1292.0
17856,1296.0
17906,1300.0
17956,1304.0
18007,1308.0
18057,1308.0
18107,1320.5
18156,1320.0
18207,1324.0
18256,1328.0
18306,1332.0
18357,1332.0
18406,1340.0
18462,1340.0
18661,1348.0
18711,1352.0
18762,1353.5
18811,1360.0
18864,1362.5
18911,1368.0
18963,1371.5
19013,1376.0
19061,1380.0
19111,1384.0
19163,1389.5
19212,1394.0
19261,1396.0
19313,1403.0
19363,1407.5
19411,1408.0
19461,1412.0
19516,1412.0
19716,1420.0
19767,1421.0
19816,1428.0
19867,1430.0
19916,1436.0
19966,1440.0
20018,1443.5
20068,1448.0
20118,1452.5
20166,1456.0
20217,1461.5
20267,1466.0
20316,1468.0
20368,1475.0
20416,1476.0
20469,1484.0
20517,1488.5
20569,1484.0
20617,1496.5
20666,1496.0
20716,1500.0
20767,1500.0
20820,1512.5
20868,1508.0
20916,1516.0
20971,1516.0
21171,1524.0
21221,1528.0
21273,1529.5
21321,1536.0
21372,1538.5
21421,1544.0
21472,1547.5
21521,1552.0
21572,1556.5
21622,1561.0
21681,1565.5
21877,1567.0
21928,1571.5
21978,1576.0
22029,1580.5
22077,1585.0
22126,1588.0
22179,1594.0
22228,1598.5
22276,1600.0
22326,1604.0
22381,1612.0
22584,1608.5
22631,1616.0
22681,1620.0
22731,1624.0
22784,1626.5
22832,1631.0
22882,1635.5
22931,1640.0
22981,1644.0
23034,1649.0
23082,1653.5
23131,1656.0
23181,1660.0
23233,1667.0
23283,1671.5
23331,1672.0
23381,1676.0
23431,1680.0
23485,1688.5
23536,1684.0
23736,1692.0
23786,1696.0
23836,1700.0
23888,1702.0
23937,1706.5
23986,1712.0
24038,1715.5
24086,1720.0
24139,1724.5
24187,1729.0
24238,1733.5
24288,1738.0
24337,1742.5
24386,1744.0
24437,1751.5
24490,1756.0
24537,1760.5
24587,1756.0
24636,1764.0
24686,1768.0
24737,1776.5
24786,1776.0
24839,1784.5
24887,1780.0
24936,1788.0
24988,1788.0
25036,1796.0
25088,1796.0
25136,1804.0
25187,1804.0
25238,1816.5
25295,1812.0
25494,1816.5
25541,1824.0
25591,1828.0
25643,1830.0
25691,1836.0
25741,1840.0
25792,1843.5
25841,1848.0
25895,1852.5
25949,1857.0
26147,1859.5
26196,1864.0
26246,1868.0
26297,1873.0
26347,1877.5
26396,1880.0
26446,1884.0
26501,1891.0
26701,1892.0
26757,1894.0
26803,1898.5
26851,1904.0
26901,1908.0
26951,1912.0
27003,1916.5
27052,1921.0
27102,1925.5
27152,1930.0
27202,1932.0
27253,1939.0
27301,1940.0
27351,1944.0
27405,1952.5
27451,1952.0
27502,1960.5
27552,1956.0
27601,1964.0
27651,1968.0
27701,1972.0
27752,1972.0
27801,1980.0
27851,1984.0
27901,1988.0
27951,1992.0
28001,1996.0
28052,1996.0
28104,2008.5
28153,2004.0
28205,2016.5
28252,2012.0
28302,2024.5
28352,2020.0
28402,2032.5
28452,2028.0
28502,2040.5
28551,2040.0
28603,2048.5
28651,2048.0
28703,2056.5
28751,2056.0
28802,2064.5
28852,2060.0
28905,2072.5
28951,2072.0
29002,2080.5
29051,2080.0
29102,2088.5
29154,2084.0
29202,2096.5
29252,2092.0
29301,2100.0
29354,2100.0
29403,2112.5
29451,2112.0
29501,2116.0
29551,2120.0
29602,2128.5
29651,2128.0
29701,2132.0
29751,2136.0
29802,2144.5
29854,2140.0
29901,2148.0
29951,2152.0
30002,2156.0
30052,2156.0
30102,2168.5
30154,2164.0
30203,2176.5
30251,2176.0
30302,2184.5
30354,2180.0
30402,2192.5
30451,2192.0
30503,2200.5
30555,2196.0
30601,2204.0
30653,2204.0
30702,2216.5
30751,2216.0
30801,2220.0
30852,2220.0
30901,2228.0
30954,2228.0
31001,2236.0
31052,2236.0
31102,2244.0
31151,2248.0
31201,2252.0
31253,2252.0
31302,2264.5
31353,2260.0
31404,2272.5
31453,2268.0
31503,2280.5
31551,2280.0
31606,2288.5
31807,2284.0
31856,2292.0
31907,2293.0
31956,2300.0
32010,2302.0
32059,2306.5
32107,2311.0
32156,2316.0
32209,2320.0
32256,2324.0
32306,2328.0
32356,2332.0
32409,2338.0
32456,2340.0
32508,2347.0
32558,2351.5
32606,2352.0
32658,2360.5
32707,2356.0
32757,2364.0
32806,2368.0
32858,2376.5
32906,2376.0
32956,2380.0
33007,2380.0
33056,2388.0
33107,2388.0
33161,2400.5
33361,2400.0
33413,2400.5
33461,2408.0
33511,2412.0
33561,2416.0
33611,2420.0
33661,2424.0
33713,2427.5
33765,2432.0
33812,2436.5
33861,2440.0
33911,2444.0
33961,2448.0
34016,2454.5
34217,2454.0
34267,2458.5
34318,2463.0
34366,2468.0
34416,2472.0
34466,2476.0
34516,2480.0
34569,2485.5
34616,2488.0
34666,2492.0
34718,2499.0
34767,2503.5
34818,2508.0
34867,2512.5
34917,2508.0
34966,2516.0
35016,2520.0
35066,2524.0
35116,2528.0
35169,2536.5
35218,2532.0
35267,2544.5
35316,2544.0
35366,2548.0
35416,2552.0
35468,2560.5
35517,2556.0
35566,2564.0
35616,2568.0
35666,2572.0
35716,2576.0
35766,2580.0
35817,2580.0
35866,2588.0
35917,2588.0
35967,2600.5
